,columns,coefficients
16,bsmt_cond-2_VS_1,62076.57555248174
43,total_bsmt_sf,25781.170047666124
28,pool_VS_no_pool,24045.485707960655
29,overall_qual,18259.348362941928
21,fireplace_qu-4_VS_3,16510.056695243624
39,totrms_abvgrd,15794.305121896467
26,garage_cond-4_VS_3,13098.843398821391
5,electrical-FuseP_VS_FuseF,12336.560272161696
32,exter_qual,10269.508190624541
34,kitchen_qual,10078.928698882612
40,fireplaces,10027.289544338933
36,half_bath,8811.442993693123
14,fence-GdPrv_VS_MnPrv,8461.766794831718
44,bsmt_full_bath,8234.399558197894
27,garage_cond-5_VS_4,7360.802747281672
35,full_bath,7247.799681585483
15,bsmt_cond-1_VS_no_basement,7220.736313795255
3,electrical-FuseA_VS_SBrkr,5845.572399798013
9,garage_finish-RFn_VS_Unf,5096.309329044212
13,fence-MnPrv_VS_GdWo,5093.20461604004
25,garage_cond-3_VS_2,4479.694998813357
30,overall_cond,4414.627388286039
8,garage_finish-Unf_VS_no_garage,3114.8900434300867
2,central_air_VS_no_central_air,2952.693645734227
41,wood_deck_sf,2798.9221362987114
19,fireplace_qu-2_VS_1,2044.9747544303325
23,garage_cond-1_VS_no_garage,1873.263811802028
45,bsmt_half_bath,1544.0548114580874
42,heating_qc,1176.695755562124
20,fireplace_qu-3_VS_2,1083.736813808666
33,exter_cond,296.45031557127396
31,year_remod/add,249.39698964769676
7,paved_drive-Y_VS_P,149.3341229464178
10,garage_finish-Fin_VS_RFn,-425.856454193217
11,fence-MnWw_VS_no_fence,-585.6099133007042
37,bedroom_abvgr,-2061.5645520960848
4,electrical-FuseF_VS_FuseA,-2659.307576246331
1,heating-Grav_VS_GasW,-3365.938848279453
6,paved_drive-P_VS_N,-4071.244693675033
12,fence-GdWo_VS_MnWw,-5224.342276354489
0,heating-GasW_VS_GasA,-7732.5267766173965
38,kitchen_abvgr,-7890.138830121934
18,fireplace_qu-1_VS_no_fireplace,-9282.357216381453
24,garage_cond-2_VS_1,-9501.146592263087
22,fireplace_qu-5_VS_4,-34777.95025297884
17,bsmt_cond-3_VS_2,-66707.60645310402
